date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:37	33038/33038	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:32%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-04.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-04.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
13:49:37	48954/48954	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:31%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-02.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-02.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
13:49:39	3659/3659	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:15%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-22.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-22.jpg	(from http://mydesignhoard.com/HTML/html/education/facultydetail.html)
13:49:40	4130/4130	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:15%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-23.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-23.jpg	(from http://mydesignhoard.com/HTML/html/education/facultydetail.html)
13:49:41	36808/36808	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:32%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-06.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-06.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
13:49:41	43639/43639	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:32%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-05.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-05.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
13:49:42	37519/37519	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:32%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-07.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-07.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
13:49:44	18666/18666	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:01%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-18.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-18.jpg	(from http://mydesignhoard.com/HTML/html/education/eventslist.html)
13:49:45	26178/26178	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:01%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-17.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-17.jpg	(from http://mydesignhoard.com/HTML/html/education/eventslist.html)
13:49:47	25345/25345	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:01%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-19.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-19.jpg	(from http://mydesignhoard.com/HTML/html/education/eventslist.html)
13:49:48	17589/17589	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:01%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-20.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-20.jpg	(from http://mydesignhoard.com/HTML/html/education/eventslist.html)
13:49:49	12542/12542	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:00%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-15.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-15.jpg	(from http://mydesignhoard.com/HTML/html/education/eventsgrid.html)
13:49:50	11874/11874	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:01%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-16.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-16.jpg	(from http://mydesignhoard.com/HTML/html/education/eventsgrid.html)
13:49:51	2849/2849	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:35%20GMT	http://mydesignhoard.com/HTML/html/education/images/students/img-01.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/students/img-01.jpg	(from http://mydesignhoard.com/HTML/html/education/results.html)
13:49:52	2835/2835	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:35%20GMT	http://mydesignhoard.com/HTML/html/education/images/students/img-02.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/students/img-02.jpg	(from http://mydesignhoard.com/HTML/html/education/results.html)
13:49:52	46679/46679	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:59%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-14.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-14.jpg	(from http://mydesignhoard.com/HTML/html/education/eventsgrid.html)
13:49:53	2961/2961	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:35%20GMT	http://mydesignhoard.com/HTML/html/education/images/students/img-03.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/students/img-03.jpg	(from http://mydesignhoard.com/HTML/html/education/results.html)
13:49:57	119867/119867	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:34%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-08.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-08.jpg	(from http://mydesignhoard.com/HTML/html/education/facultydetail.html)
13:49:59	64205/64205	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:02%20GMT	http://mydesignhoard.com/HTML/html/education/images/events/img-21.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/events/img-21.jpg	(from http://mydesignhoard.com/HTML/html/education/eventdetail.html)
13:50:06	83670/83670	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:35%20GMT	http://mydesignhoard.com/HTML/html/education/images/addmission/img-01.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/addmission/img-01.jpg	(from http://mydesignhoard.com/HTML/html/education/admissions.html)
13:50:09	18080/18080	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:41%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-07.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-07.jpg	(from http://mydesignhoard.com/HTML/html/education/campuses.html)
13:50:12	119068/119068	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:35%20GMT	http://mydesignhoard.com/HTML/html/education/images/addmission/img-02.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/addmission/img-02.jpg	(from http://mydesignhoard.com/HTML/html/education/admissions.html)
13:50:13	22176/22176	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:41%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-08.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-08.jpg	(from http://mydesignhoard.com/HTML/html/education/campuses.html)
13:50:16	120426/120426	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:35%20GMT	http://mydesignhoard.com/HTML/html/education/images/addmission/img-03.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/addmission/img-03.jpg	(from http://mydesignhoard.com/HTML/html/education/admissions.html)
13:50:16	21376/21376	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:42%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-09.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-09.jpg	(from http://mydesignhoard.com/HTML/html/education/campuses.html)
13:50:16	16704/16704	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:42%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-12.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-12.jpg	(from http://mydesignhoard.com/HTML/html/education/contactusvone.html)
13:50:20	24567/24567	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:43%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-13.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-13.jpg	(from http://mydesignhoard.com/HTML/html/education/contactusvone.html)
13:50:21	20337/20337	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:42%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-11.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-11.jpg	(from http://mydesignhoard.com/HTML/html/education/contactusvone.html)
13:50:30	83834/83834	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:42%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-10.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-10.jpg	(from http://mydesignhoard.com/HTML/html/education/contactusvone.html)
